step,time_ns,xapp,adjusted_param,adjusted_value,c0_rbUtil,c0_dlThroughput,c0_AvgCqi,c0_SINR,c0_trafficLoad,c0_RSRP,c0_RSRQ,c0_ulSinr,c0_hoSuccessRate,c0_hoFailureRate,c0_hoAttempts,c1_rbUtil,c1_dlThroughput,c1_AvgCqi,c1_SINR,c1_trafficLoad,c1_RSRP,c1_RSRQ,c1_ulSinr,c1_hoSuccessRate,c1_hoFailureRate,c1_hoAttempts,c0_Param_TxPower,c0_Param_CIO,c1_Param_TxPower,c1_Param_CIO
0,2000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,11.6,0.5,-89.3623,-5.59256,4.7471,1,0,0,0.203049,2.03049,3.85714,11,0.5,-89.3623,-5.59256,4.7471,1,0,0,44,3,44,3
1,3000000000,CCO,c1_TxPower_delta,2,0.294235,2.94235,4.71429,15.7348,0.765238,-87.3623,-4.83277,4.7471,1,0,0,0.0902664,0.902664,3,11.2652,0.234762,-89.3623,-6.54718,4.7471,1,0,0,46,3,44,3
2,4000000000,ES,c0_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,3,46,3
3,5000000000,MLB,c0_CIO_delta,1,0.202962,2.02962,3.85714,13.8916,0.408394,-88.3623,-6.04523,4.7471,1,0,0,0.294014,2.94014,4.71429,15.3084,0.591606,-87.3623,-5.18802,4.7471,1,0,0,45,3,46,3
4,6000000000,ES,c1_TxPower_delta,-1,0.202881,2.02881,3.85714,13.8918,0.408196,-88.3623,-6.04523,4.7471,1,0,0,0.294138,2.94138,4.71429,15.3082,0.591804,-87.3623,-5.18802,4.7471,1,0,0,45,4,46,3
5,7000000000,MLB,c1_CIO_delta,0,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,4,45,3
6,8000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,4,45,3
7,9000000000,CCO,c1_TxPower_delta,2,0.294186,2.94186,4.71429,15.9083,0.591748,-87.3623,-5.18802,4.7471,1,0,0,0.202962,2.02962,3.85714,13.2917,0.408252,-88.3623,-6.04523,4.7471,1,0,0,46,4,45,3
8,10000000000,ES,c0_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,4,46,3
9,11000000000,MLB,c0_CIO_delta,1,0.202948,2.02948,3.85714,13.8916,0.408356,-88.3623,-6.04523,4.7471,1,0,0,0.29404,2.9404,4.71429,15.3084,0.591644,-87.3623,-5.18802,4.7471,1,0,0,45,4,46,3
10,12000000000,ES,c1_TxPower_delta,-1,0.202827,2.02827,3.85714,13.8918,0.408212,-88.3623,-6.04523,4.7471,1,0,0,0.29404,2.9404,4.71429,15.3082,0.591788,-87.3623,-5.18802,4.7471,1,0,0,45,5,46,3
11,13000000000,MLB,c1_CIO_delta,0,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,5,45,3
12,14000000000,CCO,c0_TxPower_delta,2,0.203049,2.03049,3.85714,13.8,0.5,-88.3623,-5.59217,4.7471,1,0,0,0.203049,2.03049,3.85714,13.2,0.5,-88.3623,-5.59217,4.7471,1,0,0,45,5,45,3
13,15000000000,CCO,c1_TxPower_delta,2,0.293939,2.93939,4.71429,15.9085,0.591521,-87.3623,-5.18802,4.7471,1,0,0,0.202982,2.02982,3.85714,13.2915,0.408479,-88.3623,-6.04523,4.7471,1,0,0,46,5,45,3
14,16000000000,ES,c0_TxPower_delta,-1,0.203049,2.03049,3.85714,16,0.5,-87.3623,-5.59187,4.7471,1,0,0,0.203049,2.03049,3.85714,15.4,0.5,-87.3623,-5.59187,4.7471,1,0,0,46,5,46,3
